GRE,TOEFL,CGPA / %,WORK_EX,IELTS,SOP,LOR,PERCENTAGE
307,85,0.74,15,6,3,3,74
330,85,0.65,24,6,3,3,65
318,85,0.735,33,6,3,3,73.5
304,92,7.2,16,6,3,3,67
298,93,7.7,0,6.5,3,3,72
295,93,0.54,41,6.5,2,2,54
325,95,0.7,2,6.5,3,3,70
305,95,9.002,0,6.5,4,4,85.02
318,95,7.71,0,6.5,3,3,72.1
318,95,8,6,6.5,4,4,75
305,95,8,0,6.5,4,4,75
305,95,0.685,11,6.5,3,3,68.5
305,95,0.52,0,6.5,2,2,52
305,95,7.11,8,6.5,3,3,66.1
305,95,7,0,6.5,3,3,65
320,95,7.69,7,6.5,3,3,71.9
305,95,0.67,15,6.5,3,3,67
305,95,0.75,0,6.5,4,4,75
316,95,7.2,1,6.5,3,3,67
320,95,8,0,6.5,4,4,75
309,96,7.79,7,6.5,3,3,72.9
311,96,0.68,18,6.5,3,3,68
311,97,6.5,9,6.5,3,3,60
311,97,7.7,35,6.5,3,3,72
302,98,8,29,6.5,4,4,75
311,98,7.31,25,6.5,3,3,68.1
319,100,0.6247,12,6.5,3,3,62.47
313,100,7.65,0,6.5,3,3,71.5
308,100,9.23,26,6.5,4,4,87.3
314,100,0.76,41,6.5,4,4,76
320,100,0.9,34,6.5,5,5,90
311,101,0.5871,30,7,2,2,58.71
311,102,0.77,0,7,4,4,77
314,102,0.64,38,7,3,3,64
303,103,9,2,7,4,4,85
305,103,0.734,40,7,3,3,73.4
310,103,0.7,88,7,3,3,70
307,104,0.61,84,7,3,3,61
312,104,7.61,20,7,3,3,71.1
321,105,7.1,1,7,3,3,66
314,106,0.555,24,7,2,2,55.5
310,106,7.34,18,7,3,3,68.4
311,107,0.52,35,7,2,2,52
323,107,7.1,44,7,3,3,66
320,107,0.69,60,7,3,3,69
316,109,0.695,28,7.5,3,3,69.5
308,109,7.95,18,7.5,3,3,74.5
312,110,8.6,24,7.5,4,4,81
